AphiaID,AphiaID_accepted,Species,Genus,Family,Order,Class,Phylum
117870,117870,Abietinaria abietina,Abietinaria,Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
141433,141433,Abra alba,Abra,Semelidae,Veneroida,Bivalvia,Mollusca
141435,141435,Abra nitida,Abra,Semelidae,Veneroida,Bivalvia,Mollusca
141436,141436,Abra prismatica,Abra,Semelidae,Veneroida,Bivalvia,Mollusca
141439,141439,Abra tenuis,Abra,Semelidae,Veneroida,Bivalvia,Mollusca
138992,138992,Acanthocardia echinata,Acanthocardia,Cardiidae,Veneroida,Bivalvia,Mollusca
100930,100930,Actinauge richardi,Actinauge,Hormathiidae,Actiniaria,Anthozoa,Cnidaria
100931,100931,Adamsia carciniopados,Adamsia,Hormathiidae,Actiniaria,Anthozoa,Cnidaria
125333,125333,Alcyonium digitatum,Alcyonium,Alcyoniidae,Alcyonacea,Anthozoa,Cnidaria
101891,101891,Ampelisca brevicornis,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda
101896,101896,Ampelisca diadema,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda
101928,101928,Ampelisca spinipes,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda
101930,101930,Ampelisca tenuicornis,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda
129777,129777,Ampharete falcata,Ampharete,Ampharetidae,Terebellida,Polychaeta,Annelida
100936,100936,Amphianthus dohrnii,Amphianthus,Hormathiidae,Actiniaria,Anthozoa,Cnidaria
125064,125064,Amphipholis squamata,Amphipholis,Amphiuridae,Ophiurida,Ophiuroidea,Echinodermata
125073,125073,Amphiura chiajei,Amphiura,Amphiuridae,Ophiurida,Ophiuroidea,Echinodermata
125080,125080,Amphiura filiformis,Amphiura,Amphiuridae,Ophiurida,Ophiuroidea,Echinodermata
107218,107218,Anapagurus laevis,Anapagurus,Paguridae,Decapoda,Malacostraca,Arthropoda
134723,134723,Anoplodactylus petiolatus,Anoplodactylus,Phoxichilidiidae,Pantopoda,Pycnogonida,Arthropoda
124201,124201,Antedon bifida,Antedon,Antedonidae,Comatulida,Crinoidea,Echinodermata
131107,131107,Aonides paucibranchiata,Aonides,Spionidae,Spionida,Polychaeta,Annelida
129938,129938,Aphelochaeta marioni,Aphelochaeta,Cirratulidae,Terebellida,Polychaeta,Annelida
129840,129840,Aphrodita aculeata,Aphrodita,Aphroditidae,Phyllodocida,Polychaeta,Annelida
138760,138760,Aporrhais pespelecani,Aporrhais,Aporrhaidae,Littorinimorpha,Gastropoda,Mollusca
138761,138761,Aporrhais serresianus,Aporrhais,Aporrhaidae,Littorinimorpha,Gastropoda,Mollusca
138802,138802,Arctica islandica,Arctica,Arcticidae,Veneroida,Bivalvia,Mollusca
129868,129868,Arenicola marina,Arenicola,Arenicolidae,Capitellida,Polychaeta,Annelida
138824,138824,Astarte sulcata,Astarte,Astartidae,Carditoida,Bivalvia,Mollusca
123776,123776,Asterias rubens,Asterias,Asteriidae,Forcipulatida,Asteroidea,Echinodermata
123987,123987,Asterina gibbosa,Asterina,Asterinidae,Valvatida,Asteroidea,Echinodermata
132473,132473,Axinella dissimilis,Axinella,Axinellidae,Halichondrida,Demospongiae,Porifera
141541,141541,Azorinus chamasolen,Azorinus,Solecurtidae,Veneroida,Bivalvia,Mollusca
103058,103058,Bathyporeia elegans,Bathyporeia,Bathyporeiidae,Amphipoda,Malacostraca,Arthropoda
103060,103060,Bathyporeia guilliamsoniana,Bathyporeia,Bathyporeiidae,Amphipoda,Malacostraca,Arthropoda
100817,100817,Bolocera tuediae,Bolocera,Actiniidae,Actiniaria,Anthozoa,Cnidaria
103862,103862,Botryllus schlosseri,Botryllus,Styelidae,Stolidobranchia,Ascidiacea,Chordata
104906,104906,Branchiostoma lanceolatum,Branchiostoma,Branchiostomatidae,Leptocardii,Leptocardii,Chordata
124373,124373,Brissopsis lyrifera,Brissopsis,Brissidae,Spatangoida,Echinoidea,Echinodermata
138878,138878,Buccinum undatum,Buccinum,Buccinidae,Neogastropoda,Gastropoda,Mollusca
111166,111166,Bugula turbinata,Bugula,Bugulidae,Cheilostomatida,Gymnolaemata,Bryozoa
107729,107729,Callianassa subterranea,Callianassa,Callianassidae,Decapoda,Malacostraca,Arthropoda
107726,107726,Calocaris macandreae,Calocaris,Axiidae,Decapoda,Malacostraca,Arthropoda
107276,107276,Cancer pagurus,Cancer,Cancridae,Decapoda,Malacostraca,Arthropoda
129876,129876,Capitella capitata,Capitella,Capitellidae,Capitellida,Polychaeta,Annelida
107381,107381,Carcinus maenas,Carcinus,Portunidae,Decapoda,Malacostraca,Arthropoda
135144,135144,Caryophyllia smithii,Caryophyllia,Caryophylliidae,Scleractinia,Anthozoa,Cnidaria
138998,138998,Cerastoderma edule,Cerastoderma,Cardiidae,Veneroida,Bivalvia,Mollusca
283798,283798,Cerianthus lloydii,Cerianthus,Cerianthidae,Ceriantharia,Anthozoa,Cnidaria
129914,129914,Chaetopterus variopedatus,Chaetopterus,Chaetopteridae,Spionida,Polychaeta,Annelida
129955,129955,Chaetozone setosa,Chaetozone,Cirratulidae,Terebellida,Polychaeta,Annelida
141907,141907,Chamelea gallina,Chamelea,Veneridae,Veneroida,Bivalvia,Mollusca
106230,106230,Chthamalus montagui,Chthamalus,Chthamalidae,Sessilia,Maxillopoda,Arthropoda
103732,103732,Ciona intestinalis,Ciona,Cionidae,Phlebobranchia,Ascidiacea,Chordata
103552,103552,Clavelina lepadiformis,Clavelina,Clavelinidae,Aplousobranchia,Ascidiacea,Chordata
138899,138899,Colus gracilis,Colus,Buccinidae,Neogastropoda,Gastropoda,Mollusca
111351,111351,Conopeum reticulum,Conopeum,Electridae,Cheilostomatida,Gymnolaemata,Bryozoa
139410,139410,Corbula gibba,Corbula,Corbulidae,Myoida,Bivalvia,Mollusca
102101,102101,Corophium volutator,Corophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda
107277,107277,Corystes cassivelaunus,Corystes,Corystidae,Decapoda,Malacostraca,Arthropoda
107552,107552,Crangon crangon,Crangon,Crangonidae,Decapoda,Malacostraca,Arthropoda
138963,138963,Crepidula fornicata,Crepidula,Calyptraeidae,Littorinimorpha,Gastropoda,Mollusca
124154,124154,Crossaster papposus,Crossaster,Solasteridae,Valvatida,Asteroidea,Echinodermata
103882,103882,Dendrodoa grossularia,Dendrodoa,Styelidae,Stolidobranchia,Ascidiacea,Chordata
110472,110472,Diastylis bradyi,Diastylis,Diastylidae,Cumacea,Malacostraca,Arthropoda
107643,107643,Dichelopandalus bonnieri,Dichelopandalus,Pandalidae,Decapoda,Malacostraca,Arthropoda
103890,103890,Distomus variolosus,Distomus,Styelidae,Stolidobranchia,Ascidiacea,Chordata
130987,130987,Ditrupa arietina,Ditrupa,Serpulidae,Sabellida,Polychaeta,Annelida
124392,124392,Echinocardium cordatum,Echinocardium,Loveniidae,Spatangoida,Echinoidea,Echinodermata
124273,124273,Echinocyamus pusillus,Echinocyamus,Echinocyamidae,Clypeasteroida,Echinoidea,Echinodermata
124287,124287,Echinus esculentus,Echinus,Echinidae,Camarodonta,Echinoidea,Echinodermata
111355,111355,Electra pilosa,Electra,Electridae,Cheilostomatida,Gymnolaemata,Bryozoa
111484,111484,Escharella immersa,Escharella,Romancheinidae,Cheilostomatida,Gymnolaemata,Bryozoa
130616,130616,Eteone longa,Eteone,Phyllodocidae,Phyllodocida,Polychaeta,Annelida
130631,130631,Eulalia mustela,Eulalia,Phyllodocidae,Phyllodocida,Polychaeta,Annelida
125366,125366,Eunicella verrucosa,Eunicella,Gorgoniidae,Alcyonacea,Anthozoa,Cnidaria
118852,118852,Eurydice pulchra,Eurydice,Cirolanidae,Isopoda,Malacostraca,Arthropoda
131290,131290,Eusyllis blomstrandi,Eusyllis,Syllidae,Phyllodocida,Polychaeta,Annelida
111367,111367,Flustra foliacea,Flustra,Flustridae,Cheilostomatida,Gymnolaemata,Bryozoa
128506,128506,Funiculina quadrangularis,Funiculina,Funiculinidae,Pennatulacea,Anthozoa,Cnidaria
130116,130116,Glycera alba,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida
130123,130123,Glycera lapidum,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida
130140,130140,Goniada maculata,Goniada,Goniadidae,Phyllodocida,Polychaeta,Annelida
165801,165801,Halichondria bowerbanki,Halichondria,Halichondriidae,Halichondrida,Demospongiae,Porifera
165853,165853,Halichondria panicea,Halichondria,Halichondriidae,Halichondrida,Demospongiae,Porifera
152302,152302,Hediste diversicolor,Hediste,Nereididae,Phyllodocida,Polychaeta,Annelida
123970,123970,Henricia oculata,Henricia,Echinasteridae,Spinulosida,Asteroidea,Echinodermata
130649,130649,Hesionura elongata,Hesionura,Phyllodocidae,Phyllodocida,Polychaeta,Annelida
140103,140103,Hiatella arctica,Hiatella,Hiatellidae,Euheterodonta,Bivalvia,Mollusca
107253,107253,Homarus gammarus,Homarus,Nephropidae,Decapoda,Malacostraca,Arthropoda
130464,130464,Hyalinoecia tubicola,Hyalinoecia,Onuphidae,Eunicida,Polychaeta,Annelida
107323,107323,Hyas coarctatus,Hyas,Oregoniidae,Decapoda,Malacostraca,Arthropoda
117890,117890,Hydrallmania falcata,Hydrallmania,Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
140126,151628,Peringia ulvae,Hydrobia,Hydrobiidae,Littorinimorpha,Gastropoda,Mollusca
107327,107327,Inachus dorsettensis,Inachus,Inachidae,Decapoda,Malacostraca,Arthropoda
110462,110462,Iphinoe trispinosa,Iphinoe,Bodotriidae,Cumacea,Malacostraca,Arthropoda
102431,102431,Jassa falcata,Jassa,Ischyroceridae,Amphipoda,Malacostraca,Arthropoda
139004,139004,Laevicardium crassum,Laevicardium,Cardiidae,Veneroida,Bivalvia,Mollusca
131495,131495,Lanice conchilega,Lanice,Terebellidae,Terebellida,Polychaeta,Annelida
125158,125158,Leptasterias muelleri,Leptasterias,Asteriidae,Forcipulatida,Asteroidea,Echinodermata
107387,107387,Liocarcinus depurator,Liocarcinus,Polybiidae,Decapoda,Malacostraca,Arthropoda
107388,107388,Liocarcinus holsatus,Liocarcinus,Polybiidae,Decapoda,Malacostraca,Arthropoda
107390,107390,Liocarcinus marmoreus,Liocarcinus,Polybiidae,Decapoda,Malacostraca,Arthropoda
140262,140262,Littorina littorea,Littorina,Littorinidae,Littorinimorpha,Gastropoda,Mollusca
140283,140283,Lucinoma borealis,Lucinoma,Lucinidae,Lucinoida,Bivalvia,Mollusca
123920,123920,Luidia ciliaris,Luidia,Luidiidae,Paxillosida,Asteroidea,Echinodermata
380251,123919,Luidia atlantidea,Luidia,Luidiidae,Paxillosida,Asteroidea,Echinodermata
141579,141579,Macoma balthica,Macoma,Tellinidae,Veneroida,Bivalvia,Mollusca
107397,107397,Macropipus tuberculatus,Macropipus,Polybiidae,Decapoda,Malacostraca,Arthropoda
107346,107346,Macropodia tenuirostris,Macropodia,Inachidae,Decapoda,Malacostraca,Arthropoda
140299,140299,Mactra stultorum,Mactra,Mactridae,Veneroida,Bivalvia,Mollusca
102821,534781,Othomaera othonis,Maera,Maeridae,Amphipoda,Malacostraca,Arthropoda
102831,102831,Maerella tenuimana,Maerella,Maeridae,Amphipoda,Malacostraca,Arthropoda
107350,107350,Maja squinado,Maja,Majidae,Decapoda,Malacostraca,Arthropoda
130072,130072,Marphysa bellii,Marphysa,Eunicidae,Eunicida,Polychaeta,Annelida
129892,129892,Mediomastus fragilis,Mediomastus,Capitellidae,Capitellida,Polychaeta,Annelida
100982,100982,Metridium senile,Metridium,Metridiidae,Actiniaria,Anthozoa,Cnidaria
140467,140467,Modiolus modiolus,Modiolus,Mytilidae,Mytiloida,Bivalvia,Mollusca
140472,140472,Musculus discors,Musculus,Mytilidae,Mytiloida,Bivalvia,Mollusca
140430,140430,Mya arenaria,Mya,Myidae,Myoida,Bivalvia,Mollusca
140480,140480,Mytilus edulis,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca
107254,107254,Nephrops norvegicus,Nephrops,Nephropidae,Decapoda,Malacostraca,Arthropoda
130355,130355,Nephtys caeca,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida
130357,130357,Nephtys cirrosa,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida
130359,130359,Nephtys hombergii,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida
130362,130362,Nephtys incisa,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida
138920,138920,Neptunea antiqua,Neptunea,Buccinidae,Neogastropoda,Gastropoda,Mollusca
129898,129898,Notomastus latericeus,Notomastus,Capitellidae,Capitellida,Polychaeta,Annelida
140403,140403,Nucella lapillus,Nucella,Muricidae,Neogastropoda,Gastropoda,Mollusca
140589,140589,Nucula nitidosa,Nucula,Nuculidae,Nuculida,Bivalvia,Mollusca
140592,140592,Nucula sulcata,Nucula,Nuculidae,Nuculida,Bivalvia,Mollusca
117389,117389,Obelia longissima,Obelia,Campanulariidae,Leptothecata,Hydrozoa,Cnidaria
130491,130491,Ophelia borealis,Ophelia,Opheliidae,Opheliida,Polychaeta,Annelida
125131,125131,Ophiothrix fragilis,Ophiothrix,Ophiotrichidae,Ophiurida,Ophiuroidea,Echinodermata
124913,124913,Ophiura albida,Ophiura,Ophiuridae,Ophiurida,Ophiuroidea,Echinodermata
124929,124929,Ophiura ophiura,Ophiura,Ophiuridae,Ophiurida,Ophiuroidea,Echinodermata
130544,130544,Owenia fusiformis,Owenia,Oweniidae,Sabellida,Polychaeta,Annelida
107232,107232,Pagurus bernhardus,Pagurus,Paguridae,Decapoda,Malacostraca,Arthropoda
107703,107703,Palinurus elephas,Palinurus,Palinuridae,Decapoda,Malacostraca,Arthropoda
140684,140684,Patella ulyssiponensis,Patella,Patellidae,Patellogastropoda,Gastropoda,Mollusca
140685,140685,Patella vulgata,Patella,Patellidae,Patellogastropoda,Gastropoda,Mollusca
140712,140712,Pecten maximus,Pecten,Pectinidae,Pectinoida,Bivalvia,Mollusca
111082,111082,Pentapora fascialis,Pentapora,Bitectiporidae,Cheilostomatida,Gymnolaemata,Bryozoa
140737,140737,Phaxas pellucidus,Phaxas,Pharidae,Euheterodonta,Bivalvia,Mollusca
140744,140744,Philine aperta,Philine,Philinidae,Cephalaspidea,Gastropoda,Mollusca
128549,128549,Phoronis muelleri,Phoronis,Phoronida,Phoronida,Phoronida,Phoronida
102383,102383,Photis longicaudata,Photis,Photidae,Amphipoda,Malacostraca,Arthropoda
107188,107188,Pisidia longicornis,Pisidia,Porcellanidae,Decapoda,Malacostraca,Arthropoda
130707,130707,Pisione remota,Pisione,Sigalionidae,Phyllodocida,Polychaeta,Annelida
130711,130711,Poecilochaetus serpens,Poecilochaetus,Poecilochaetidae,Spionida,Polychaeta,Annelida
131141,131141,Polydora ciliata,Polydora,Spionidae,Spionida,Polychaeta,Annelida
131027,555935,Spirobranchus triqueter,Pomatoceros,Serpulidae,Sabellida,Polychaeta,Annelida
102916,102916,Pontocrates altamarinus,Pontocrates,Oedicerotidae,Amphipoda,Malacostraca,Arthropoda
125166,125166,Porania pulvillus,Porania,Poraniidae,Valvatida,Asteroidea,Echinodermata
107682,107682,Processa canaliculata,Processa,Processidae,Decapoda,Malacostraca,Arthropoda
100913,100913,Protanthea simplex,Protanthea,Gonactiniidae,Actiniaria,Anthozoa,Cnidaria
124319,124319,Psammechinus miliaris,Psammechinus,Parechinidae,Camarodonta,Echinoidea,Echinodermata
239867,239867,Pycnogonum litorale,Pycnogonum,Pycnogonidae,Pantopoda,Pycnogonida,Arthropoda
130866,130866,Sabellaria alveolata,Sabellaria,Sabellariidae,Sabellida,Polychaeta,Annelida
130867,130867,Sabellaria spinulosa,Sabellaria,Sabellariidae,Sabellida,Polychaeta,Annelida
100991,100991,Sagartia elegans,Sagartia,Sagartiidae,Actiniaria,Anthozoa,Cnidaria
101002,101002,Sagartiogeton undatus,Sagartiogeton,Sagartiidae,Actiniaria,Anthozoa,Cnidaria
130980,130980,Scalibregma inflatum,Scalibregma,Scalibregmatidae,Opheliida,Polychaeta,Annelida
139488,139488,Scaphander lignarius,Scaphander,Scaphandridae,Cephalaspidea,Gastropoda,Mollusca
106210,106210,Semibalanus balanoides,Semibalanus,Archaeobalanidae,Sessilia,Maxillopoda,Arthropoda
131051,131051,Serpula vermicularis,Serpula,Serpulidae,Sabellida,Polychaeta,Annelida
117913,117913,Sertularia cupressina,Sertularia,Sertulariidae,Leptothecata,Hydrozoa,Cnidaria
124418,124418,Spatangus purpureus,Spatangus,Spatangidae,Spatangoida,Echinoidea,Echinodermata
131379,131379,Sphaerosyllis bulbosa,Sphaerosyllis,Syllidae,Phyllodocida,Polychaeta,Annelida
131183,131183,Spio filicornis,Spio,Spionidae,Spionida,Polychaeta,Annelida
131187,131187,Spiophanes bombyx,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida
140300,140300,Spisula elliptica,Spisula,Mactridae,Veneroida,Bivalvia,Mollusca
140302,140302,Spisula subtruncata,Spisula,Mactridae,Veneroida,Bivalvia,Mollusca
103166,103166,Stenothoe marina,Stenothoe,Stenothoidae,Amphipoda,Malacostraca,Arthropoda
141651,141651,Thracia villosiuscula,Thracia,Thraciidae,Anomalodesmata,Bivalvia,Mollusca
141662,141662,Thyasira flexuosa,Thyasira,Thyasiridae,Lucinoida,Bivalvia,Mollusca
124670,124670,Thyone fusus,Thyone,Phyllophoridae,Dendrochirotida,Holothuroidea,Echinodermata
141929,141929,Timoclea ovata,Timoclea,Veneridae,Veneroida,Bivalvia,Mollusca
117994,117994,Tubularia indivisa,Tubularia,Tubulariidae,Anthoathecata,Hydrozoa,Cnidaria
141872,141872,Turritella communis,Turritella,Turritellidae,Caenogastropoda,Gastropoda,Mollusca
111586,146830,Oshurkovia littoralis,Umbonula,Umbonulidae,Cheilostomatida,Gymnolaemata,Bryozoa
107739,107739,Upogebia deltaura,Upogebia,Upogebiidae,Decapoda,Malacostraca,Arthropoda
103228,103228,Urothoe elegans,Urothoe,Urothoidae,Amphipoda,Malacostraca,Arthropoda
100834,100834,Urticina felina,Urticina,Actiniidae,Actiniaria,Anthozoa,Cnidaria
128539,128539,Virgularia mirabilis,Virgularia,Virgulariidae,Pennatulacea,Anthozoa,Cnidaria
141435,141435,Abra nitida,Abra,Semelidae,Veneroida,Bivalvia,Mollusca
139604,139604,Donax vittatus,Donax,Donacidae,Veneroida,Bivalvia,Mollusca
130614,152250,Hypereteone foliosa,Eteone,Phyllodocidae,Phyllodocida,Polychaeta,Annelida
103226,103226,Urothoe brevicornis,Urothoe,Urothoidae,Amphipoda,Malacostraca,Arthropoda
103235,103235,Urothoe poseidonis,Urothoe,Urothoidae,Amphipoda,Malacostraca,Arthropoda
130364,130364,Nephtys longosetosa,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida
140380,345281,Kurtiella bidentata,Mysella,Montacutidae,Veneroida,Bivalvia,Mollusca
130355,130355,Nephtys caeca,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida
140301,140301,Spisula solida,Spisula,Mactridae,Veneroida,Bivalvia,Mollusca
102057,102057,Unciola crenatipalma,Unciola,Unciolidae,Amphipoda,Malacostraca,Arthropoda
110445,110445,Bodotria scorpioides,Bodotria,Bodotriidae,Cumacea,Malacostraca,Arthropoda
102089,397383,Crassicorophium crassicorne,Corophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda
124418,124418,Spatangus purpureus,Spatangus,Spatangidae,Spatangoida,Echinoidea,Echinodermata
334772,334772,Scoloplos armiger,Scoloplos,Orbiniidae,Orbiniida,Polychaeta,Annelida
104051,235385,Novocrania anomala,Neocrania,Craniidae,Craniida,Craniata,Brachiopoda
129775,129775,Ampharete acutifrons,Ampharete,Ampharetidae,Terebellida,Polychaeta,Annelida
129959,129959,Cirratulus cirratus,Cirratulus,Cirratulidae,Terebellida,Polychaeta,Annelida
130595,152367,Lagis koreni,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida
131153,131153,Prionospio cirrifera,Prionospio,Spionidae,Spionida,Polychaeta,Annelida
131171,131171,Scolelepis bonnieri,Scolelepis,Spionidae,Spionida,Polychaeta,Annelida
103066,103066,Bathyporeia pelagica,Bathyporeia,Bathyporeiidae,Amphipoda,Malacostraca,Arthropoda
102788,102788,Abludomelita obtusata,Abludomelita,Melitidae,Amphipoda,Malacostraca,Arthropoda
120020,120020,Gastrosaccus spinifer,Gastrosaccus,Mysidae,Mysida,Malacostraca,Arthropoda
